"Code","Sample_Plate","Sample_Well","Treatment","Ant_status","DEF","EF1","HYM","N_reads_obtained"
"54-B8","4","B6","control.big","untreated nurse",0,1,1,2
"54-B9","4","B7","control.big","untreated nurse",1,1,0,2
"54-C12","4","C10","control.big","untreated forager",0,1,1,2
"54-C4","4","C2","control.big","untreated forager",1,1,1,3
"54-C5","4","C3","control.big","untreated forager",1,1,0,2
"54-C7","4","C5","control.big","untreated forager",0,1,1,2
"54-C8","4","C6","control.big","untreated forager",1,1,0,2
"54-D10","4","D8","control.big","untreated nurse",1,1,0,2
"54-D12","4","D10","control.big","untreated nurse",0,1,1,2
"54-D3","4","D1","control.big","untreated forager",1,1,1,3
"54-D4","4","D2","control.big","untreated forager",0,1,1,2
"54-D9","4","D7","control.big","untreated forager",0,1,1,2
"54-E10","4","E8","control.big","treated nurse",1,1,0,2
"54-E12","4","E10","control.big","untreated forager",0,1,1,2
"54-E4","4","E2","control.big","untreated forager",1,1,0,2
"54-E5","4","E3","control.big","untreated forager",1,1,0,2
"54-E8","4","E6","control.big","untreated nurse",0,1,1,2
"54-F11","4","F9","control.big","treated nurse",0,1,1,2
"54-F12","4","F10","control.big","untreated forager",1,1,0,2
"54-F4","4","F2","control.big","untreated forager",1,1,0,2
"54-F5","4","F3","control.big","untreated forager",1,1,0,2
"54-F7","4","F5","control.big","untreated nurse",1,1,0,2
"54-G11","4","G9","control.big","untreated forager",1,1,1,3
"54-G12","4","G10","control.big","untreated forager",0,1,1,2
"54-G5","4","G3","control.big","untreated forager",1,1,1,3
"54-G7","4","G5","control.big","untreated forager",1,1,1,3
"54-G8","4","G6","control.big","untreated forager",1,1,1,3
"54-G9","4","G7","control.big","treated nurse",0,1,1,2
"54-H3","4","H1","control.big","untreated forager",1,1,0,2
"54-H4","4","H2","control.big","untreated forager",1,1,1,3
"54-H7","4","H5","control.big","untreated forager",0,1,1,2
"54-H8","4","H6","control.big","untreated nurse",1,1,0,2
"55-A4","3","A4","control.big","treated nurse",1,1,1,3
"55-A5","3","A5","control.big","untreated forager",1,1,1,3
"55-A9","3","A9","control.big","treated nurse",0,1,1,2
"55-B4","3","B4","control.big","untreated forager",1,1,1,3
"55-B5","3","B5","control.big","untreated forager",1,1,1,3
"55-C1","3","C1","control.big","treated nurse",1,1,0,2
"55-C10","3","C10","control.big","untreated nurse",0,1,1,2
"55-C3","3","C3","control.big","untreated forager",1,1,1,3
